"filename", "language", "JavaScript", "XML", "JSON", "Markdown", "JavaScript JSX", "CSS", "JSON with Comments", "comment", "blank", "total"
"/Users/rudreshpandey/Desktop/WebD/scholizare/Scholizare-Firebase/README.md", "Markdown", 0, 0, 0, 23, 0, 0, 0, 0, 14, 37
"/Users/rudreshpandey/Desktop/WebD/scholizare/Scholizare-Firebase/app/firebase/config.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 2, 5, 24
"/Users/rudreshpandey/Desktop/WebD/scholizare/Scholizare-Firebase/app/globals.css", "CSS", 0, 0, 0, 0, 0, 3, 0, 0, 2, 5
"/Users/rudreshpandey/Desktop/WebD/scholizare/Scholizare-Firebase/app/layout.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 5, 19
"/Users/rudreshpandey/Desktop/WebD/scholizare/Scholizare-Firebase/app/page.js", "JavaScript", 106, 0, 0, 0, 0, 0, 0, 4, 1, 111
"/Users/rudreshpandey/Desktop/WebD/scholizare/Scholizare-Firebase/app/student/[studentid]/page.jsx", "JavaScript JSX", 0, 0, 0, 0, 916, 0, 0, 87, 8, 1011
"/Users/rudreshpandey/Desktop/WebD/scholizare/Scholizare-Firebase/app/student/[studentid]/search/page.jsx", "JavaScript JSX", 0, 0, 0, 0, 180, 0, 0, 323, 64, 567
"/Users/rudreshpandey/Desktop/WebD/scholizare/Scholizare-Firebase/app/student/account/page.jsx", "JavaScript JSX", 0, 0, 0, 0, 430, 0, 0, 222, 44, 696
"/Users/rudreshpandey/Desktop/WebD/scholizare/Scholizare-Firebase/app/student/page.jsx", "JavaScript JSX", 0, 0, 0, 0, 23, 0, 0, 0, 4, 27
"/Users/rudreshpandey/Desktop/WebD/scholizare/Scholizare-Firebase/app/student/signin/page.jsx", "JavaScript JSX", 0, 0, 0, 0, 68, 0, 0, 38, 8, 114
"/Users/rudreshpandey/Desktop/WebD/scholizare/Scholizare-Firebase/app/student/signup/page.jsx", "JavaScript JSX", 0, 0, 0, 0, 94, 0, 0, 67, 8, 169
"/Users/rudreshpandey/Desktop/WebD/scholizare/Scholizare-Firebase/app/teacher/[teacherid]/CoursePage/page.jsx", "JavaScript JSX", 0, 0, 0, 0, 59, 0, 0, 1, 12, 72
"/Users/rudreshpandey/Desktop/WebD/scholizare/Scholizare-Firebase/app/teacher/[teacherid]/createForm/page.jsx", "JavaScript JSX", 0, 0, 0, 0, 383, 0, 0, 9, 42, 434
"/Users/rudreshpandey/Desktop/WebD/scholizare/Scholizare-Firebase/app/teacher/[teacherid]/page.jsx", "JavaScript JSX", 0, 0, 0, 0, 130, 0, 0, 1, 6, 137
"/Users/rudreshpandey/Desktop/WebD/scholizare/Scholizare-Firebase/app/teacher/account/maps/page.jsx", "JavaScript JSX", 0, 0, 0, 0, 16, 0, 0, 1, 4, 21
"/Users/rudreshpandey/Desktop/WebD/scholizare/Scholizare-Firebase/app/teacher/account/page.jsx", "JavaScript JSX", 0, 0, 0, 0, 403, 0, 0, 5, 28, 436
"/Users/rudreshpandey/Desktop/WebD/scholizare/Scholizare-Firebase/app/teacher/signin/page.jsx", "JavaScript JSX", 0, 0, 0, 0, 64, 0, 0, 38, 8, 110
"/Users/rudreshpandey/Desktop/WebD/scholizare/Scholizare-Firebase/app/teacher/signup/page.jsx", "JavaScript JSX", 0, 0, 0, 0, 90, 0, 0, 133, 12, 235
"/Users/rudreshpandey/Desktop/WebD/scholizare/Scholizare-Firebase/jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"/Users/rudreshpandey/Desktop/WebD/scholizare/Scholizare-Firebase/next.config.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 1, 2, 5
"/Users/rudreshpandey/Desktop/WebD/scholizare/Scholizare-Firebase/package-lock.json", "JSON", 0, 0, 2968, 0, 0, 0, 0, 0, 1, 2969
"/Users/rudreshpandey/Desktop/WebD/scholizare/Scholizare-Firebase/package.json", "JSON", 0, 0, 29, 0, 0, 0, 0, 0, 1, 30
"/Users/rudreshpandey/Desktop/WebD/scholizare/Scholizare-Firebase/postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/rudreshpandey/Desktop/WebD/scholizare/Scholizare-Firebase/public/next.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/rudreshpandey/Desktop/WebD/scholizare/Scholizare-Firebase/public/page.js", "JavaScript", 105, 0, 0, 0, 0, 0, 0, 4, 1, 110
"/Users/rudreshpandey/Desktop/WebD/scholizare/Scholizare-Firebase/public/postcss.config/site.webmanifest", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/rudreshpandey/Desktop/WebD/scholizare/Scholizare-Firebase/public/vercel.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/rudreshpandey/Desktop/WebD/scholizare/Scholizare-Firebase/tailwind.config.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 1, 1, 40
"Total", "-", 288, 2, 2998, 23, 2856, 3, 7, 937, 283, 7397